date,period,value
2021-12-29,2020-12-31,486660031.76
2021-12-29,2021-06-30,471584987.95
2022-05-18,2021-12-31,710296863.56
2022-09-30,2022-06-30,994613357.45
2022-10-25,2022-09-30,1093451688.18
2023-04-21,2022-12-31,1306354791.56
2023-04-29,2023-03-31,1527238591.94
2023-08-30,2023-06-30,1736628792.15
2023-10-28,2023-09-30,1821877330.36
2024-03-22,2023-12-31,1964062141.57
2024-04-30,2024-03-31,2133955688.38
2024-08-30,2024-06-30,2241520651.82
2024-10-16,2024-09-30,2728299673.5
2025-04-29,2024-12-31,2887390889.89
2025-04-29,2025-03-31,3125402526.92
2025-08-21,2025-06-30,3316116094.04
2025-10-27,2025-09-30,3997248870.17
