date,period,value
2021-12-28,2020-12-31,332879111.48
2021-12-28,2021-06-30,282037783.73
2022-06-21,2021-12-31,620922823.17
2022-09-14,2022-06-30,390558765.34
2022-11-09,2021-09-30,435300571.14
2022-11-09,2022-09-30,577354834.29
2023-03-30,2022-12-31,726945441.6
2023-04-27,2022-03-31,187541575.39
2023-04-27,2023-03-31,161432100.44
2023-08-10,2023-06-30,325603750.49
2023-10-27,2023-09-30,511002964.82
2024-03-29,2023-12-31,630451009.16
2024-04-26,2024-03-31,159718293.05
2024-08-10,2024-06-30,330565040.7
2024-10-30,2024-09-30,490354379.96
2025-03-31,2024-12-31,630742120.87
2025-04-24,2025-03-31,141774069.63
2025-08-14,2025-06-30,294623949.37
2025-10-28,2025-09-30,459029332.07
2026-03-27,2025-12-31,636140413.43
