date,period,value
2022-06-27,2020-12-31,-627722.2
2022-06-27,2021-12-31,-1462756.15
2022-11-15,2022-06-30,-304084.21
2023-03-27,2021-09-30,-768766.99
2023-03-27,2022-09-30,-244476.3
2023-03-27,2022-12-31,-294749.17
2023-04-28,2023-03-31,-319292.88
2023-08-29,2023-06-30,-834605.67
2023-10-28,2023-09-30,-1101405.83
2024-04-26,2023-12-31,-1889222.07
2024-04-26,2024-03-31,43643.2
2024-08-28,2024-06-30,-541506.82
2024-10-26,2024-09-30,-281567.07
2025-03-20,2024-12-31,-2300341.22
2025-04-29,2025-03-31,79567.76
2025-08-28,2025-06-30,-296694.36
2025-10-29,2025-09-30,-1831026.11
2026-03-28,2025-12-31,-3008143.33
