date,period,value
2022-01-10,2020-12-31,905318.66
2022-01-10,2021-06-30,3090679.65
2022-07-06,2021-12-31,1294577.73
2022-09-22,2022-06-30,7881381.34
2022-12-02,2022-09-30,10195481.85
2023-04-26,2022-12-31,11372928.87
2023-04-26,2023-03-31,19420447.92
2023-08-25,2023-06-30,23056198.18
2023-10-27,2023-09-30,18069563.07
2024-04-26,2023-12-31,18611399.7
2024-04-26,2024-03-31,61108645.74
2024-08-30,2024-06-30,64301149.27
2024-10-30,2024-09-30,21694681.5
2025-04-26,2024-12-31,16882396.18
2025-04-26,2025-03-31,14634044.91
2025-08-30,2025-06-30,5326221.53
2025-10-31,2025-09-30,1975150.95
2026-03-25,2025-12-31,3814762.59
