date,period,value
2022-01-10,2020-12-31,4233973.0
2022-01-10,2021-06-30,14275518.41
2022-07-06,2021-12-31,54697822.83
2022-09-22,2022-06-30,18678098.1
2022-12-02,2022-09-30,5373465.73
2023-04-26,2022-12-31,9350642.68
2023-04-26,2023-03-31,24405145.93
2023-08-25,2023-06-30,18331398.0
2023-10-27,2023-09-30,6245063.0
2024-04-26,2023-12-31,4707187.0
2024-04-26,2024-03-31,6937812.0
2024-08-30,2024-06-30,19729815.98
2024-10-30,2024-09-30,14625146.31
2025-04-26,2024-12-31,16767569.9
2025-04-26,2025-03-31,42660501.0
2025-08-30,2025-06-30,114095330.91
2025-10-31,2025-09-30,110220132.71
2026-03-25,2025-12-31,201990059.0
