date,period,value
2020-07-28,2020-03-31,83851842.94
2020-08-17,2020-06-30,83617299.57
2020-10-28,2020-09-30,79112198.02
2021-04-27,2020-12-31,70770251.24
2021-04-27,2021-03-31,101375098.24
2021-08-05,2021-06-30,105077759.44
2021-10-27,2021-09-30,165621972.34
2022-04-15,2021-12-31,199566534.16
2022-04-15,2022-03-31,197989480.93
2022-08-05,2022-06-30,208794225.88
2022-10-27,2022-09-30,216170595.95
2023-03-22,2022-12-31,237013099.88
2023-04-29,2023-03-31,233100890.96
2023-08-03,2023-06-30,209562349.97
2023-10-27,2023-09-30,206514145.11
2024-04-27,2023-12-31,196253209.34
2024-04-27,2024-03-31,202322939.06
2024-08-09,2024-06-30,197529993.7
2024-10-29,2024-09-30,196985600.7
2025-04-17,2024-12-31,258002642.26
2025-04-17,2025-03-31,207184405.7
2025-08-08,2025-06-30,201101560.72
2025-10-30,2025-09-30,233576378.42
2026-03-26,2025-12-31,240370267.93
