date,period,value
2022-06-24,2020-12-31,1994502.0
2022-06-24,2021-12-31,1837138.5
2022-11-23,2022-06-30,4505307.0
2023-04-25,2022-12-31,7030786.25
2023-06-02,2023-03-31,8844466.25
2023-08-31,2023-06-30,12127601.25
2023-10-27,2023-09-30,13903661.25
2024-03-28,2023-12-31,17383122.5
2024-04-29,2024-03-31,18291397.5
2024-08-27,2024-06-30,21536781.87
2024-10-26,2024-09-30,15414239.68
2025-03-26,2024-12-31,8162854.75
2025-04-29,2025-03-31,7972614.75
2025-08-26,2025-06-30,5696691.63
2025-10-28,2025-09-30,5219415.75
2026-03-31,2025-12-31,59415714.52
