date,period,value
2022-06-29,2020-12-31,34111776.86
2022-06-29,2021-12-31,6709833.27
2022-11-14,2022-06-30,-10620001.77
2023-04-06,2022-12-31,6576196.64
2023-05-17,2022-03-31,-10378308.63
2023-05-17,2023-03-31,-10271698.0
2023-08-30,2023-06-30,-5620974.96
2023-10-25,2022-09-30,-19492875.06
2023-10-25,2023-09-30,-7667504.31
2024-04-26,2023-12-31,-1843143.35
2024-04-26,2024-03-31,-6054313.82
2024-08-26,2024-06-30,-13839129.63
2024-10-30,2024-09-30,-21715107.99
2025-04-22,2024-12-31,-26442421.61
2025-04-22,2025-03-31,6326584.68
2025-08-23,2025-06-30,3027748.98
2025-10-30,2025-09-30,-2180289.46
