date,period,value
2022-04-30,2022-03-31,762547090.0
2022-08-31,2022-06-30,1571588193.67
2022-10-31,2022-09-30,1846260152.2
2023-04-29,2022-12-31,2131688255.42
2023-04-29,2023-03-31,2029059222.04
2023-08-31,2023-06-30,1513104610.93
2023-10-28,2023-09-30,1900947859.08
2024-04-30,2023-12-31,1908536782.97
2024-04-30,2024-03-31,1747160608.03
2024-08-24,2024-06-30,1648485589.06
2024-10-31,2024-09-30,1310671757.87
2025-04-30,2024-12-31,1860885049.13
2025-04-30,2025-03-31,1825852453.52
2025-08-30,2025-06-30,2263168174.42
2025-10-31,2025-09-30,2041348685.64
