date,period,value
2020-06-24,2020-03-31,4237879093.46
2020-08-29,2020-06-30,4218942751.91
2020-10-31,2020-09-30,4750982640.94
2021-04-30,2020-12-31,5341062260.62
2021-04-30,2021-03-31,5767551227.95
2021-08-30,2021-06-30,6905880513.03
2021-10-30,2021-09-30,8007412030.57
2022-04-30,2021-12-31,11662357896.43
2022-04-30,2022-03-31,13414906344.1
2022-08-31,2022-06-30,15328036982.83
2022-10-31,2022-09-30,17869394707.11
2023-04-29,2022-12-31,20110610137.58
2023-04-29,2023-03-31,19019404995.09
2023-08-31,2023-06-30,16956527692.1
2023-10-28,2023-09-30,19255612624.92
2024-04-30,2023-12-31,19760062830.54
2024-04-30,2024-03-31,18929120067.48
2024-08-24,2024-06-30,16992386802.48
2024-10-31,2024-09-30,15048632957.02
2025-04-30,2024-12-31,16715575148.16
2025-04-30,2025-03-31,16896857613.0
2025-08-30,2025-06-30,15857154245.88
2025-10-31,2025-09-30,14893394894.25
