date,period,value
2020-07-31,2020-03-31,219052.28
2020-08-31,2020-06-30,392685.66
2020-10-30,2020-09-30,1866438.66
2021-04-20,2020-12-31,2371758.67
2021-04-20,2021-03-31,1042552.59
2021-08-25,2021-06-30,2175562.79
2021-10-30,2021-09-30,6071892.8
2022-04-28,2021-12-31,6587315.08
2022-04-28,2022-03-31,682202.45
2022-08-20,2022-06-30,1330793.59
2022-10-31,2022-09-30,7863153.68
2023-04-25,2022-12-31,13319997.82
2023-04-25,2023-03-31,3569281.19
2023-08-25,2023-06-30,6885268.2
2023-10-26,2023-09-30,17542265.09
2024-04-30,2023-12-31,22797822.03
2025-04-29,2024-12-31,13122611.71
2025-04-29,2025-03-31,3741902.78
2025-08-30,2025-06-30,7815176.51
2025-10-31,2025-09-30,11683549.72
