date,period,value
2022-06-23,2020-12-31,308700.0
2022-06-23,2021-12-31,232074.65
2023-01-10,2022-06-30,9321.76
2023-04-18,2022-12-31,232986.49
2023-07-07,2023-03-31,43115.34
2023-08-30,2023-06-30,90574.36
2023-10-28,2022-09-30,10821.76
2023-10-28,2023-09-30,157799.86
2024-04-26,2023-12-31,854244.99
2024-04-26,2024-03-31,55000.0
2024-08-24,2024-06-30,159508.68
2024-10-26,2024-09-30,87204.93
2025-04-26,2024-12-31,279914.52
2025-04-26,2025-03-31,149519.8
2025-08-26,2025-06-30,185803.81
2025-10-28,2025-09-30,198430.52
