date,period,value
2020-06-18,2020-03-31,216904013.21
2021-03-09,2020-09-30,165293836.47
2021-06-03,2020-12-31,188096300.79
2021-06-03,2021-03-31,160269212.33
2021-08-23,2020-06-30,226745916.85
2021-08-23,2021-06-30,494984498.48
2022-03-11,2021-12-31,374556042.07
2022-08-15,2022-06-30,418464872.39
2023-04-26,2022-12-31,249634477.01
2023-08-25,2023-06-30,325333173.03
2024-04-25,2023-12-31,339764774.36
2024-08-28,2024-06-30,248087807.08
2025-04-25,2024-12-31,271459974.91
2025-08-28,2025-06-30,222920841.78
