date,period,value
2020-09-25,2020-06-30,4402974.12
2020-12-10,2020-09-30,8027424.35
2021-04-16,2020-12-31,12681758.47
2021-04-28,2020-03-31,222768.15
2021-04-28,2021-03-31,4507396.29
2021-08-25,2021-06-30,15074755.39
2021-10-27,2021-09-30,28344966.68
2022-04-18,2021-12-31,41447534.56
2022-04-28,2022-03-31,12948289.15
2022-08-25,2022-06-30,27636981.82
2022-10-28,2022-09-30,52908955.65
2023-04-18,2022-12-31,90607959.22
2023-04-28,2023-03-31,55596857.54
2023-08-16,2023-06-30,75146697.15
2023-10-31,2023-09-30,127816311.15
2024-04-16,2023-12-31,182485087.29
2024-04-30,2024-03-31,77816464.22
2024-08-26,2024-06-30,137807472.24
2024-10-31,2024-09-30,178795913.55
2025-04-16,2024-12-31,200300768.34
2025-04-29,2025-03-31,27711502.18
2025-08-26,2025-06-30,65812754.77
2025-10-24,2025-09-30,75778175.44
