date,period,value
2020-09-25,2020-06-30,307316351.16
2020-12-10,2020-09-30,330752191.01
2021-04-16,2020-12-31,763069662.48
2021-04-28,2021-03-31,784087565.36
2021-08-25,2021-06-30,807663348.65
2021-10-27,2021-09-30,842340340.01
2022-04-18,2021-12-31,866828431.28
2022-04-28,2022-03-31,896631380.89
2022-08-25,2022-06-30,914775594.17
2022-10-28,2022-09-30,952309523.63
2023-04-18,2022-12-31,979097162.49
2023-04-28,2023-03-31,1027709964.2
2023-08-16,2023-06-30,1066060692.98
2023-10-31,2023-09-30,1892976497.48
2024-04-16,2023-12-31,1935163482.96
2024-04-30,2024-03-31,2004554432.35
2024-08-26,2024-06-30,2041286518.93
2024-10-31,2024-09-30,2102561349.47
2025-04-16,2024-12-31,2114367171.39
2025-04-29,2025-03-31,2181285329.39
2025-08-26,2025-06-30,2253520367.97
2025-10-24,2025-09-30,2345567266.81
