date,period,value
2022-06-30,2020-12-31,59913833.85
2022-06-30,2021-12-31,101416533.46
2023-03-20,2022-06-30,105935193.53
2023-04-28,2022-12-31,420527581.95
2023-12-14,2022-09-30,222504914.38
2023-12-14,2023-06-30,296377535.54
2023-12-14,2023-09-30,360663262.19
2024-04-22,2023-03-31,182982946.05
2024-04-22,2023-12-31,391591330.62
2024-04-22,2024-03-31,51395040.31
2024-08-31,2024-06-30,137764404.8
2024-10-31,2024-09-30,230446391.29
2025-04-29,2024-12-31,283433032.75
2025-04-29,2025-03-31,63025895.94
2025-08-29,2025-06-30,104929822.22
2025-10-30,2025-09-30,168242645.46
