date,period,value
2020-08-03,2020-03-31,1544131.94
2021-01-19,2020-09-30,1796671.14
2021-06-22,2020-12-31,1534809.84
2021-08-02,2021-06-30,4082658.48
2021-10-30,2021-09-30,7790111.44
2022-04-15,2021-12-31,9629522.55
2022-04-27,2022-03-31,10767346.62
2022-08-26,2022-06-30,12885072.04
2022-10-28,2022-09-30,12715307.75
2023-04-08,2022-12-31,23084419.58
2023-04-28,2023-03-31,28551980.05
2023-08-23,2023-06-30,31185220.92
2023-10-26,2023-09-30,33575997.3
2024-04-16,2023-12-31,35206277.96
2024-04-29,2024-03-31,32628694.32
2024-08-28,2024-06-30,38397039.52
2024-10-26,2024-09-30,41594737.89
2025-03-31,2024-12-31,42816308.54
2025-04-29,2025-03-31,46011531.45
2025-08-22,2025-06-30,52462051.36
2025-10-31,2025-09-30,44281868.3
2026-03-21,2025-12-31,50480709.58
