date,period,value
2020-08-31,2020-06-30,71859955.49
2021-03-31,2020-12-31,99491433.38
2021-07-27,2020-03-31,18869584.43
2021-07-27,2021-03-31,33904132.55
2021-08-13,2021-06-30,122630059.06
2021-10-30,2020-09-30,78496143.24
2021-10-30,2021-09-30,196182536.65
2022-04-16,2021-12-31,278768813.37
2022-04-26,2022-03-31,56804817.69
2022-08-25,2022-06-30,133501117.45
2022-10-31,2022-09-30,55908048.68
2023-04-15,2022-12-31,-44432869.35
2023-04-26,2023-03-31,-71860409.04
2023-08-22,2023-06-30,-65174803.49
2023-10-28,2023-09-30,-98975066.58
2024-04-10,2023-12-31,64568181.47
2024-04-26,2024-03-31,38426886.09
2024-08-20,2024-06-30,98142039.49
2024-10-30,2024-09-30,188025036.51
2025-04-10,2024-12-31,248311607.3
2025-04-26,2025-03-31,64552056.3
2025-08-14,2025-06-30,157655065.56
2025-10-28,2025-09-30,277208804.65
2026-04-10,2025-12-31,318517914.99
