date,period,value
2020-04-28,2020-03-31,15923425.97
2020-08-25,2020-06-30,15990925.48
2020-10-29,2020-09-30,15990925.48
2021-04-27,2020-12-31,16126146.2
2021-04-27,2021-03-31,16193052.56
2021-08-26,2021-06-30,17023270.19
2021-10-28,2021-09-30,17180077.19
2022-04-26,2021-12-31,17266921.98
2022-04-26,2022-03-31,17356167.15
2022-08-26,2022-06-30,17445737.26
2022-10-28,2022-09-30,17529720.23
2023-04-26,2022-12-31,17620572.48
2023-04-26,2023-03-31,17749647.23
2023-08-29,2023-06-30,17843224.46
2023-10-28,2023-09-30,17940726.78
2024-04-16,2023-12-31,17994633.05
2024-04-26,2024-03-31,18133570.78
2024-08-27,2024-06-30,18183091.89
2024-10-29,2024-09-30,18238133.97
2025-04-29,2024-12-31,16636326.62
2025-04-29,2025-03-31,16673050.11
2025-08-20,2025-06-30,16695689.73
2025-10-28,2025-09-30,16714139.58
