date,period,value
2020-04-23,2020-03-31,146000000.0
2020-08-27,2020-06-30,111000000.0
2020-10-29,2020-09-30,175000000.0
2021-04-29,2020-12-31,253941617.81
2021-04-29,2021-03-31,213834953.43
2021-08-26,2021-06-30,98900926.03
2021-10-29,2021-09-30,224385782.18
2022-04-20,2021-12-31,124027473.97
2022-04-30,2022-03-31,290130515.06
2022-08-27,2022-06-30,200573681.73
2022-10-27,2022-09-30,230543613.24
2023-04-20,2022-12-31,198824583.56
2023-04-28,2023-03-31,229439926.02
2023-08-29,2023-06-30,210257788.8
2023-10-30,2023-09-30,224366583.56
2024-04-22,2023-12-31,221235986.3
2024-04-22,2024-03-31,165587198.64
2024-08-28,2024-06-30,186398657.55
2024-10-30,2024-09-30,170603041.1
2025-04-18,2024-12-31,234756168.68
2025-04-29,2025-03-31,240363017.4
2025-08-28,2025-06-30,284562777.53
2025-10-29,2025-09-30,232798702.11
