date,period,value
2020-04-20,2020-03-31,363679973.05
2020-08-31,2020-06-30,360962137.23
2020-10-31,2020-09-30,347226251.96
2021-03-31,2020-12-31,796749664.2
2021-04-28,2021-03-31,808832686.62
2021-08-30,2021-06-30,768401810.72
2021-10-28,2021-09-30,773831450.74
2022-04-30,2021-12-31,775410657.1
2022-04-30,2022-03-31,737149301.19
2022-08-19,2022-06-30,759473736.74
2022-10-27,2022-09-30,779653707.03
2023-04-25,2022-12-31,1062444617.78
2023-04-25,2023-03-31,1012737685.94
2023-08-31,2023-06-30,1051479272.0
2023-10-31,2023-09-30,1042201290.23
2024-03-30,2023-12-31,1356203587.68
2024-04-25,2024-03-31,1297829362.16
2024-08-22,2024-06-30,1331557448.97
2024-10-31,2024-09-30,1106413970.83
2025-04-01,2024-12-31,282428135.99
2025-04-28,2025-03-31,277499671.92
2025-08-22,2025-06-30,597370335.18
2025-10-31,2025-09-30,533855760.86
2026-03-31,2025-12-31,650134601.73
