date,period,value
2020-04-30,2020-03-31,2869436706.0
2020-08-31,2020-06-30,5525519741.62
2020-10-31,2020-09-30,10509969741.62
2021-04-30,2020-12-31,13767686160.0
2021-04-30,2021-03-31,1493680111.41
2021-08-30,2021-06-30,3610680000.0
2021-10-30,2021-09-30,4274680000.0
2022-04-29,2021-12-31,4681800481.68
2022-04-29,2022-03-31,1029738958.53
2022-08-29,2022-06-30,2503782430.61
2022-10-31,2022-09-30,2748821710.19
2023-04-29,2022-12-31,3606300000.0
2023-04-29,2023-03-31,838670000.0
2023-08-28,2023-06-30,1230680000.0
2023-10-30,2023-09-30,3402468318.9
2024-04-09,2023-12-31,4705217797.52
2024-04-30,2024-03-31,4321368211.23
2024-08-31,2024-06-30,3272724620.63
2024-10-31,2024-09-30,4330859914.54
2025-03-20,2024-12-31,8830926541.01
2025-04-30,2025-03-31,2770015668.0
2025-08-30,2025-06-30,4294516416.81
2025-10-31,2025-09-30,4803654714.77
2026-03-21,2025-12-31,6105687516.79
