date,period,value
2020-04-28,2020-03-31,114171821.35
2020-08-29,2020-06-30,149849685.31
2020-10-30,2020-09-30,148220896.85
2021-04-27,2020-12-31,193303158.59
2021-04-28,2021-03-31,174937572.9
2021-08-31,2021-06-30,246161465.6
2021-10-25,2021-09-30,243193891.89
2022-04-26,2021-12-31,210334433.22
2022-04-26,2022-03-31,172609420.11
2022-08-30,2022-06-30,236166554.08
2022-10-28,2022-09-30,196386212.95
2023-04-25,2022-12-31,206244423.64
2023-04-25,2023-03-31,207486399.96
2023-08-29,2023-06-30,331577384.9
2023-10-27,2023-09-30,227696058.93
2024-04-15,2023-12-31,325532643.78
2024-04-20,2024-03-31,292642313.19
2024-08-29,2024-06-30,342419313.48
2024-10-30,2024-09-30,282119587.72
2025-04-15,2024-12-31,449466024.25
2025-04-29,2025-03-31,418173215.82
2025-08-30,2025-06-30,452398579.57
2025-10-31,2025-09-30,440477122.68
