date,period,value
2020-04-15,2020-03-31,-5920426.57
2020-08-27,2020-06-30,-7302826.5
2020-10-31,2020-09-30,-12638515.24
2021-03-31,2020-12-31,-9290980.49
2021-04-28,2021-03-31,-8082223.27
2021-08-30,2021-06-30,-6274363.7
2021-10-28,2021-09-30,-9300748.11
2022-03-31,2021-12-31,11660691.67
2022-04-29,2022-03-31,-2384532.0
2022-08-31,2022-06-30,-10152625.04
2022-10-29,2022-09-30,-14787365.58
2023-03-31,2022-12-31,-69987.82
2023-04-29,2023-03-31,-7204670.06
2023-08-31,2023-06-30,-16611808.42
2023-10-31,2023-09-30,-25627704.83
2024-03-29,2023-12-31,-3604361.54
2024-04-27,2024-03-31,-13842912.44
2024-08-31,2024-06-30,-27988172.44
2024-10-31,2024-09-30,-62137824.0
2025-03-29,2024-12-31,-12405635.7
2025-04-26,2025-03-31,-21011340.4
2025-08-28,2025-06-30,-36517384.12
2025-10-31,2025-09-30,-62710981.53
2026-03-31,2025-12-31,-9529279.93
