date,period,value
2020-08-22,2020-06-30,190826961.28
2020-10-29,2020-09-30,217693589.82
2021-04-01,2020-12-31,221144973.05
2021-08-25,2021-06-30,254983254.06
2021-10-27,2021-09-30,257719457.33
2022-04-21,2021-12-31,234703407.08
2022-08-25,2022-06-30,53411477.28
2022-10-26,2022-09-30,55591197.24
2023-04-27,2022-12-31,57063712.91
2023-10-21,2023-09-30,4250424.76
2024-04-26,2023-12-31,13221276.69
2024-08-24,2024-06-30,16199890.65
2024-10-26,2024-09-30,16199890.65
2025-04-24,2024-12-31,59221866.93
2025-08-16,2025-06-30,112057308.38
2025-10-31,2025-09-30,169802222.07
