date,period,value
2020-04-28,2020-03-31,16593576.84
2020-08-28,2020-06-30,16593576.77
2020-10-29,2020-09-30,16559968.78
2021-04-29,2020-12-31,16576061.24
2021-04-29,2021-03-31,28375.46
2021-08-21,2021-06-30,1073469.74
2021-10-27,2021-09-30,1420043.47
2022-04-28,2021-12-31,1382905.07
2022-08-27,2022-06-30,462944.81
2022-10-27,2022-09-30,454572.6
2023-04-27,2022-12-31,394997.46
2023-08-30,2023-06-30,-15312.0
2023-10-28,2023-09-30,44338.39
2024-04-23,2023-12-31,-111428.38
2024-04-27,2024-03-31,26795678.16
2024-08-29,2024-06-30,47131624.85
2024-10-29,2024-09-30,75316071.83
2025-04-29,2024-12-31,101903075.75
2025-08-28,2025-06-30,-1141286.53
2025-10-30,2025-09-30,-1144056.31
