date,period,value
2020-04-29,2020-03-31,1241303.24
2020-08-28,2020-06-30,1248228.68
2020-10-30,2020-09-30,1027096.97
2021-04-30,2020-12-31,984083.2
2021-04-30,2021-03-31,1122096.28
2021-08-27,2021-06-30,966360.16
2021-10-29,2021-09-30,980805.66
2022-04-28,2021-12-31,964215.41
2022-04-28,2022-03-31,939185.72
2022-08-29,2022-06-30,1003951.88
2023-04-28,2022-12-31,1053276.45
2023-04-28,2023-03-31,1016635.03
2023-08-18,2023-06-30,1080900.49
2023-10-31,2023-09-30,1085821.76
2024-04-26,2023-12-31,1071137.05
2024-04-26,2024-03-31,1058434.37
2024-10-26,2024-09-30,1057770.43
2025-04-24,2024-12-31,1084152.12
2025-04-24,2025-03-31,1061980.23
2025-08-28,2025-06-30,1070848.03
2025-10-31,2025-09-30,1074585.09
2026-03-31,2025-12-31,1062985.46
