date,period,value
2020-08-27,2020-06-30,1038604.0
2020-10-28,2020-09-30,1606556.1
2021-10-26,2021-09-30,1464850.0
2022-04-15,2021-12-31,12636140.0
2022-04-28,2022-03-31,4448453.07
2022-08-25,2022-06-30,38916908.46
2022-10-28,2022-09-30,22842813.75
2023-04-15,2022-12-31,5967771.97
2023-04-28,2023-03-31,19140364.35
2023-08-25,2023-06-30,38173001.64
2023-10-27,2023-09-30,42040774.17
2024-04-19,2023-12-31,61034215.12
2024-04-30,2024-03-31,88445508.45
2024-08-28,2024-06-30,419444102.59
2024-10-29,2024-09-30,328174296.0
2025-04-26,2024-12-31,421638212.52
2025-04-26,2025-03-31,467966607.89
2025-08-28,2025-06-30,555486339.97
2025-10-29,2025-09-30,563879442.61
