date,period,value
2020-04-25,2020-03-31,1073357235.81
2020-08-27,2020-06-30,921466963.79
2020-10-28,2020-09-30,1086615572.98
2021-04-10,2020-12-31,1107441019.59
2021-04-27,2021-03-31,1191136102.03
2021-08-20,2021-06-30,982413892.69
2021-10-26,2021-09-30,1236836599.88
2022-04-15,2021-12-31,1389494942.21
2022-04-28,2022-03-31,1319440067.66
2022-08-25,2022-06-30,1313977570.56
2022-10-28,2022-09-30,1217800523.78
2023-04-15,2022-12-31,1076170347.16
2023-04-28,2023-03-31,1103699049.29
2023-08-25,2023-06-30,1113032221.24
2023-10-27,2023-09-30,1116078669.83
2024-04-19,2023-12-31,1154325028.67
2024-04-30,2024-03-31,1019908476.63
2024-08-28,2024-06-30,1099360153.53
2024-10-29,2024-09-30,1027644433.2
2025-04-26,2024-12-31,1194061740.12
2025-04-26,2025-03-31,1120996747.74
2025-08-28,2025-06-30,1222115854.51
2025-10-29,2025-09-30,1367304602.05
