date,period,value
2020-04-25,2020-03-31,9973288122.16
2020-08-27,2020-06-30,10860564265.21
2020-10-28,2020-09-30,11027654798.75
2021-04-10,2020-12-31,12368869544.92
2021-04-27,2021-03-31,12714997139.64
2021-08-20,2021-06-30,12591466111.04
2021-10-26,2021-09-30,12558992362.57
2022-04-15,2021-12-31,9358574501.72
2022-04-28,2022-03-31,9512976574.55
2022-08-25,2022-06-30,7889942853.25
2022-10-28,2022-09-30,8371428733.45
2023-04-15,2022-12-31,9059885091.6
2023-04-28,2023-03-31,9185595694.62
2023-08-25,2023-06-30,8053349263.23
2023-10-27,2023-09-30,8554783604.13
2024-04-19,2023-12-31,6506425611.95
2024-04-30,2024-03-31,9103374751.72
2024-08-28,2024-06-30,9196516295.43
2024-10-29,2024-09-30,9380711781.46
2025-04-26,2024-12-31,9021162526.39
2025-04-26,2025-03-31,9829509169.94
2025-08-28,2025-06-30,9542109080.3
2025-10-29,2025-09-30,12159096423.03
