date,period,value
2020-04-25,2020-03-31,-318608.67
2020-08-27,2020-06-30,12075.14
2020-10-28,2020-09-30,42401.75
2021-04-10,2020-12-31,-110050.58
2021-04-27,2021-03-31,-33769.54
2021-08-20,2021-06-30,10841.48
2021-10-26,2021-09-30,113404.2
2022-04-15,2021-12-31,13397.08
2023-04-15,2022-12-31,15168.93
2023-04-28,2023-03-31,-229.32
2023-08-25,2023-06-30,-4552.96
2023-10-27,2023-09-30,-4156.0
2024-04-19,2023-12-31,-5735.62
2024-04-30,2024-03-31,-25.51
2024-08-28,2024-06-30,37.47
2024-10-29,2024-09-30,-747.23
2025-04-26,2024-12-31,-434.17
2025-04-26,2025-03-31,-33.36
2025-08-28,2025-06-30,-121.04
2025-10-29,2025-09-30,-144.8
