date,period,value
2020-04-30,2020-03-31,633181242.7
2020-08-19,2020-06-30,641410423.24
2020-10-31,2020-09-30,418603150.71
2021-03-16,2020-12-31,306229315.1
2021-04-29,2021-03-31,310149863.05
2021-08-14,2021-06-30,314113972.65
2022-03-09,2021-12-31,1005580958.9
2022-04-30,2022-03-31,1017502876.7
2022-08-30,2022-06-30,1029557260.25
2022-10-27,2022-09-30,1041744109.55
2023-03-29,2022-12-31,1005580958.85
2023-04-27,2023-03-31,1017502876.65
2023-08-31,2023-06-30,1029557260.2
2023-10-30,2023-09-30,1041744109.5
2024-04-26,2023-12-31,1024441162.2
2024-04-30,2024-03-31,1036659934.14
2024-08-28,2024-06-30,1048878706.09
2024-10-31,2024-09-30,1061231705.22
2025-04-28,2024-12-31,187363556.12
2025-04-30,2025-03-31,283075453.36
2025-08-28,2025-06-30,347103290.93
2025-10-31,2025-09-30,374583950.15
