date,period,value
2020-04-30,2020-03-31,76031374.16
2020-08-19,2020-06-30,179770286.58
2020-10-31,2020-09-30,354851073.22
2021-03-16,2020-12-31,575105217.57
2021-04-29,2021-03-31,139616654.17
2021-08-14,2021-06-30,253832147.35
2021-10-28,2021-09-30,328973254.71
2022-03-09,2021-12-31,427999733.16
2022-04-30,2022-03-31,57676651.2
2022-08-30,2022-06-30,158173815.86
2022-10-27,2022-09-30,226707746.32
2023-03-29,2022-12-31,272852264.82
2023-04-27,2023-03-31,53739226.84
2023-08-31,2023-06-30,101973833.06
2023-10-30,2023-09-30,147074962.18
2024-04-26,2023-12-31,183179453.96
2024-04-30,2024-03-31,41721219.56
2024-08-28,2024-06-30,84016400.33
2024-10-31,2024-09-30,134153504.72
2025-04-28,2024-12-31,193409497.39
2025-04-30,2025-03-31,56956081.71
2025-08-28,2025-06-30,118728833.98
2025-10-31,2025-09-30,177927749.56
