date,period,value
2020-04-30,2020-03-31,90627629.24
2020-08-19,2020-06-30,207802120.96
2020-10-31,2020-09-30,409871015.29
2021-03-16,2020-12-31,581068117.88
2021-04-29,2021-03-31,136118522.05
2021-08-14,2021-06-30,260384579.62
2021-10-28,2021-09-30,387388568.73
2022-03-09,2021-12-31,474436070.28
2022-04-30,2022-03-31,67046747.2
2022-08-30,2022-06-30,127943974.3
2022-10-27,2022-09-30,188161323.05
2023-03-29,2022-12-31,237402808.17
2023-04-27,2023-03-31,48935462.17
2023-08-31,2023-06-30,100670775.18
2023-10-30,2023-09-30,151482017.84
2024-04-26,2023-12-31,199466564.6
2024-04-30,2024-03-31,47092524.71
2024-08-28,2024-06-30,96502132.95
2024-10-31,2024-09-30,144220876.57
2025-04-28,2024-12-31,253355557.59
2025-04-30,2025-03-31,74068269.91
2025-08-28,2025-06-30,139366036.41
2025-10-31,2025-09-30,245011195.19
