date,period,value
2020-04-30,2020-03-31,45753344.44
2020-08-19,2020-06-30,162856120.23
2020-10-31,2020-09-30,201890251.02
2021-03-16,2020-12-31,66075368.81
2021-04-29,2021-03-31,8766353.32
2021-08-14,2021-06-30,1370377.82
2021-10-28,2021-09-30,34054283.29
2022-03-09,2021-12-31,-131441938.6
2022-04-30,2022-03-31,-209534968.72
2022-08-30,2022-06-30,-222570582.46
2022-10-27,2022-09-30,-228698770.51
2023-03-29,2022-12-31,-392098055.88
2023-04-27,2023-03-31,-2485397.07
2023-08-31,2023-06-30,-151788636.94
2023-10-30,2023-09-30,-262022013.91
2024-04-26,2023-12-31,-384086624.86
2024-04-30,2024-03-31,-101036648.65
2024-08-28,2024-06-30,-51087476.44
2024-10-31,2024-09-30,-95959999.3
2025-04-28,2024-12-31,-89230122.95
2025-04-30,2025-03-31,-95730970.57
2025-08-28,2025-06-30,124849623.35
2025-10-31,2025-09-30,152173526.96
