date,period,value
2020-04-30,2020-03-31,707290576.31
2020-08-19,2020-06-30,901069604.77
2020-10-31,2020-09-30,992200586.57
2021-03-16,2020-12-31,1006644712.19
2021-04-29,2021-03-31,1653826757.86
2021-08-14,2021-06-30,1419880510.93
2021-10-28,2021-09-30,1289691077.47
2022-03-09,2021-12-31,863756152.04
2022-04-30,2022-03-31,998485066.75
2022-08-30,2022-06-30,1192200283.88
2022-10-27,2022-09-30,770768177.31
2023-03-29,2022-12-31,736522504.69
2023-04-27,2023-03-31,1056371243.76
2023-08-31,2023-06-30,865043961.05
2023-10-30,2023-09-30,918504006.14
2024-04-26,2023-12-31,758476678.48
2024-04-30,2024-03-31,738762459.91
2024-08-28,2024-06-30,681369200.39
2024-10-31,2024-09-30,725411669.42
2025-04-28,2024-12-31,709298522.05
2025-04-30,2025-03-31,796885067.79
2025-08-28,2025-06-30,736150262.8
2025-10-31,2025-09-30,832728119.48
