date,period,value
2020-04-22,2020-03-31,154287358.43
2020-08-24,2020-06-30,149760542.8
2020-10-23,2020-09-30,149180014.65
2021-03-31,2020-12-31,144690236.46
2021-04-10,2021-03-31,141038456.65
2021-08-30,2021-06-30,141472015.97
2021-10-16,2021-09-30,136905575.33
2022-03-31,2021-12-31,132164134.63
2022-04-20,2022-03-31,127084042.42
2022-08-31,2022-06-30,123969954.12
2022-10-26,2022-09-30,119952707.53
2023-03-27,2022-12-31,118372785.93
2023-04-21,2023-03-31,112700363.12
2023-08-25,2023-06-30,109733483.64
2023-10-28,2023-09-30,105183454.14
2024-03-29,2023-12-31,100666757.92
2024-04-26,2024-03-31,96073918.44
2024-08-23,2024-06-30,91523472.2
2024-10-30,2024-09-30,88034692.69
2025-03-31,2024-12-31,83245913.19
2025-04-29,2025-03-31,78748073.69
2025-08-27,2025-06-30,77755960.85
2025-10-25,2025-09-30,73363014.69
2026-03-30,2025-12-31,68970978.58
