date,period,value
2020-04-24,2020-03-31,421804171.29
2020-08-21,2020-06-30,882403504.26
2020-10-23,2020-09-30,1330187066.56
2021-04-23,2020-12-31,1765720541.08
2021-04-23,2021-03-31,434593722.17
2021-08-20,2021-06-30,850359463.85
2021-10-27,2021-09-30,1328592585.64
2022-04-29,2021-12-31,1816731878.61
2022-04-29,2022-03-31,501170449.6
2022-08-19,2022-06-30,1069947172.41
2022-10-28,2022-09-30,1563571727.4
2023-04-28,2022-12-31,1976829808.87
2023-04-28,2023-03-31,446810311.89
2023-08-17,2023-06-30,829942772.58
2023-10-27,2023-09-30,1234064553.49
2024-04-26,2023-12-31,1632301567.87
2024-04-26,2024-03-31,372585802.3
2024-08-28,2024-06-30,771905890.74
2024-10-29,2024-09-30,1154862080.63
2025-04-25,2024-12-31,1489443406.73
2025-04-25,2025-03-31,342440480.52
2025-08-29,2025-06-30,689762193.52
2025-10-30,2025-09-30,994462236.32
