date,period,value
2020-04-16,2020-03-31,-349274.66
2020-08-22,2020-06-30,-512796.06
2020-10-28,2020-09-30,-5395030.08
2021-03-13,2020-12-31,-55642637.35
2021-04-24,2021-03-31,-2061387.36
2021-08-21,2021-06-30,-1446277.75
2021-10-27,2021-09-30,-3406749.41
2022-03-12,2021-12-31,-23751478.79
2022-04-26,2022-03-31,-5859689.27
2022-08-20,2022-06-30,-31203150.85
2022-10-28,2022-09-30,-63927482.51
2023-03-11,2022-12-31,-93369775.19
2023-04-27,2023-03-31,526296.3
2023-08-19,2023-06-30,-37760181.79
2023-10-21,2023-09-30,-53166112.91
2024-03-15,2023-12-31,-119095908.78
2024-04-20,2024-03-31,1389914.72
2024-08-17,2024-06-30,-1160412.32
2024-10-28,2024-09-30,-20409724.31
2025-03-08,2024-12-31,-115740553.53
2025-04-19,2025-03-31,1046440.73
2025-08-20,2025-06-30,-24404227.53
2025-10-22,2025-09-30,-27320205.25
2026-03-21,2025-12-31,-97667178.49
