date,period,value
2020-04-29,2020-03-31,143438978.75
2020-08-31,2020-06-30,183000000.0
2020-10-31,2020-09-30,183000000.0
2021-04-30,2020-12-31,183000000.0
2021-04-30,2021-03-31,24073127.91
2021-08-26,2021-06-30,55144231.12
2021-10-29,2021-09-30,55000731.98
2022-04-20,2021-12-31,156725493.35
2022-04-20,2022-03-31,107846398.14
2022-08-25,2022-06-30,55466633.19
2022-10-27,2022-09-30,59311577.85
2023-04-20,2022-12-31,149468260.62
2023-04-20,2023-03-31,8918418.48
2023-08-25,2023-06-30,8844946.31
2023-10-24,2023-09-30,8607411.05
2024-03-29,2023-12-31,353145078.98
2024-04-26,2024-03-31,0.0
2024-08-27,2024-06-30,0.0
2025-03-29,2024-12-31,39542944.56
2025-08-27,2025-06-30,3024.0
2025-10-30,2025-09-30,13505615.12
2026-04-01,2025-12-31,22225143.23
