date,period,value
2020-04-30,2020-03-31,663542084.67
2020-08-28,2020-06-30,701403664.58
2020-10-30,2020-09-30,739501342.29
2021-03-27,2020-12-31,714952704.09
2021-04-28,2021-03-31,765589191.66
2021-08-28,2021-06-30,865429291.18
2021-10-27,2021-09-30,977833681.24
2022-04-01,2021-12-31,1148180156.7
2022-04-30,2022-03-31,1163523463.95
2022-08-27,2022-06-30,1185717989.49
2022-10-29,2022-09-30,1351909493.78
2023-04-13,2022-12-31,1424570467.25
2023-04-29,2023-03-31,1372588197.47
2023-08-31,2023-06-30,1399840164.13
2023-10-28,2023-09-30,1326872360.62
2024-03-28,2023-12-31,1414860137.08
2024-04-27,2024-03-31,1175821130.31
2024-08-21,2024-06-30,1275187849.9
2024-10-29,2024-09-30,1404162611.45
2025-04-17,2024-12-31,1450823561.96
2025-04-30,2025-03-31,1516940992.3
2025-08-21,2025-06-30,1485228405.41
2025-10-31,2025-09-30,1840822506.84
2026-04-11,2025-12-31,1754418022.82
