date,period,value
2020-04-29,2020-03-31,34740208.74
2020-08-29,2020-06-30,51685379.98
2020-10-31,2020-09-30,127091809.48
2021-03-30,2020-12-31,176638964.89
2021-04-30,2021-03-31,25068523.04
2021-08-27,2021-06-30,67320736.4
2021-10-25,2021-09-30,106040577.57
2022-03-29,2021-12-31,138562501.3
2022-04-29,2022-03-31,60247689.86
2022-08-26,2022-06-30,77995710.85
2022-10-29,2022-09-30,113508887.69
2023-04-11,2022-12-31,142667114.79
2023-04-29,2023-03-31,37667065.78
2023-08-30,2023-06-30,65015241.78
2023-10-30,2023-09-30,138078770.58
2024-03-30,2023-12-31,165715221.21
2024-04-30,2024-03-31,31084343.07
2024-08-31,2024-06-30,50790407.66
2024-10-31,2024-09-30,84078263.64
2025-04-15,2024-12-31,99824389.73
2025-04-30,2025-03-31,26671843.91
2025-08-30,2025-06-30,92682400.38
2025-10-23,2025-09-30,129708144.86
2026-03-27,2025-12-31,154281599.26
