date,period,value
2020-04-29,2020-03-31,35858755.12
2020-08-31,2020-06-30,35624399.89
2020-10-31,2020-09-30,35542773.88
2021-04-30,2020-12-31,34931102.9
2021-04-30,2021-03-31,34849476.89
2021-08-28,2021-06-30,34615121.66
2021-10-23,2021-09-30,34533495.65
2022-04-30,2021-12-31,33501149.98
2022-04-30,2022-03-31,33419523.97
2022-08-25,2022-06-30,33185168.74
2022-10-28,2022-09-30,33103542.73
2023-04-28,2022-12-31,32503344.7
2023-04-28,2023-03-31,32421718.79
2023-08-23,2023-06-30,32187363.56
2023-10-28,2023-09-30,32105737.55
2024-04-27,2023-12-31,31505539.42
2024-04-27,2024-03-31,31423913.41
2024-08-29,2024-06-30,31189558.18
2024-10-26,2024-09-30,31107932.17
2025-04-26,2024-12-31,30507734.14
2025-04-26,2025-03-31,30426108.13
2025-08-27,2025-06-30,30191752.9
2025-10-25,2025-09-30,30110126.89
