date,period,value
2020-04-28,2020-03-31,-1671458615.12
2020-08-28,2020-06-30,-1428765377.8
2020-10-30,2020-09-30,-1660424990.76
2021-04-29,2020-12-31,-1023198363.49
2021-04-29,2021-03-31,-151136207.38
2021-08-27,2021-06-30,43258207.69
2021-10-26,2021-09-30,-701732746.52
2022-04-27,2021-12-31,-887154951.59
2022-04-27,2022-03-31,627071603.56
2022-08-26,2022-06-30,226188704.73
2022-10-28,2022-09-30,113454285.23
2023-04-28,2022-12-31,511859967.5
2023-04-28,2023-03-31,-661731266.12
2023-08-30,2023-06-30,-321751729.94
2023-10-27,2023-09-30,-608397409.65
2024-04-27,2023-12-31,-725137211.32
2024-04-27,2024-03-31,107051341.99
2024-08-29,2024-06-30,164636949.33
2024-10-31,2024-09-30,426395463.49
2025-04-25,2024-12-31,261617049.9
2025-04-25,2025-03-31,258424239.41
2025-08-29,2025-06-30,424359524.9
2025-10-31,2025-09-30,651915370.42
