date,period,value
2020-04-30,2020-03-31,5047655288.89
2020-08-20,2020-06-30,5761825533.34
2020-10-23,2020-09-30,5842070638.89
2021-04-30,2020-12-31,4753347935.74
2021-04-30,2021-03-31,2512580000.0
2021-08-31,2021-06-30,5293655138.89
2021-10-27,2021-09-30,4344996666.67
2022-04-28,2021-12-31,4816972937.95
2022-04-28,2022-03-31,2544980660.51
2022-08-30,2022-06-30,3578187277.77
2022-10-29,2022-09-30,3485342541.67
2023-04-29,2022-12-31,3638746805.56
2023-04-29,2023-03-31,3885940222.23
2023-08-26,2023-06-30,1355237333.33
2023-10-28,2023-09-30,2584449722.22
2024-04-27,2023-12-31,2603329444.45
2024-04-27,2024-03-31,2351196999.99
2024-08-29,2024-06-30,2101144500.0
2024-10-29,2024-09-30,1702650000.0
2025-04-28,2024-12-31,2302845138.89
2025-04-28,2025-03-31,2307157638.89
2025-08-28,2025-06-30,2911518055.56
2025-10-31,2025-09-30,5829950250.0
