date,period,value
2020-12-18,2020-06-30,13592918976.09
2021-04-30,2020-12-31,22151225244.27
2021-12-07,2020-09-30,17024040467.55
2021-12-07,2021-06-30,20936327074.6
2021-12-07,2021-09-30,22067410793.39
2022-04-28,2021-03-31,10083288369.55
2022-04-28,2021-12-31,24920922959.53
2022-08-30,2022-06-30,3508196871.84
2022-10-29,2022-09-30,10556977530.95
2023-04-29,2022-12-31,12497565232.48
2023-04-29,2023-03-31,4073674294.59
2023-08-26,2023-06-30,15328424711.12
2023-10-28,2023-09-30,19195827466.46
2024-04-27,2023-12-31,21686690996.45
2024-04-27,2024-03-31,10675369716.59
2024-08-29,2024-06-30,7555056206.87
2024-10-29,2024-09-30,9801413586.98
2025-04-28,2024-12-31,7774710045.39
2025-04-28,2025-03-31,17699336199.65
2025-08-28,2025-06-30,12271272971.4
2025-10-31,2025-09-30,14206323324.72
