date,period,value
2020-04-30,2020-03-31,150810.96
2020-08-20,2020-06-30,301621.92
2020-10-23,2020-09-30,452432.88
2021-04-30,2020-12-31,1909841.08
2021-04-30,2021-03-31,150810.96
2021-08-31,2021-06-30,301621.92
2021-10-27,2021-09-30,455111.66
2022-04-28,2021-12-31,1981543.25
2022-04-28,2022-03-31,432889.19
2022-08-30,2022-06-30,1270356.04
2022-10-29,2022-09-30,2233003.18
2023-04-29,2022-12-31,2910776.42
2023-04-29,2023-03-31,647941.1
2023-08-26,2023-06-30,1842117.82
2023-10-28,2023-09-30,2302389.35
2024-04-27,2023-12-31,3402390.87
2024-04-27,2024-03-31,614794.97
2024-08-29,2024-06-30,1232065.48
2024-10-29,2024-09-30,2415854.24
2025-04-28,2024-12-31,3166453.56
2025-04-28,2025-03-31,618970.74
2025-08-28,2025-06-30,1831848.81
2025-10-31,2025-09-30,2517694.67
