date,period,value
2021-06-22,2020-12-31,116501929.4
2021-10-28,2021-06-30,53802368.54
2022-02-28,2021-12-31,22302880.19
2022-04-25,2022-03-31,11516649.34
2022-08-22,2022-06-30,185454871.37
2022-10-24,2022-09-30,284375611.02
2023-03-27,2022-12-31,431078953.44
2023-04-28,2023-03-31,512129610.79
2023-08-07,2023-06-30,768290813.19
2023-10-31,2023-09-30,2156597675.35
2024-04-10,2023-12-31,2147899387.0
2024-04-29,2024-03-31,2467665636.95
2024-08-29,2024-06-30,1025056742.96
2024-10-29,2024-09-30,1334773573.09
2025-03-31,2024-12-31,1583961682.94
2025-04-29,2025-03-31,967824327.02
2025-08-26,2025-06-30,1498059638.11
2025-10-29,2025-09-30,2736515989.32
