date,period,value
2021-04-01,2020-12-31,4189427.04
2021-04-28,2021-03-31,1218253.73
2021-08-30,2021-06-30,5871781.03
2021-10-30,2021-09-30,5347521.78
2022-03-19,2021-12-31,6031364.86
2022-04-30,2022-03-31,6136425.79
2022-08-19,2022-06-30,7020113.09
2022-10-31,2022-09-30,6396251.09
2023-04-27,2022-12-31,7625942.4
2023-04-27,2023-03-31,8353738.18
2023-08-29,2023-06-30,9522839.71
2023-10-31,2023-09-30,10330304.02
2024-04-27,2023-12-31,9885040.33
2024-04-27,2024-03-31,8879881.21
2024-08-31,2024-06-30,10013007.19
2024-10-29,2024-09-30,11582640.75
2025-04-23,2024-12-31,14617204.76
2025-04-23,2025-03-31,15542037.52
2025-08-20,2025-06-30,15068751.17
2025-10-29,2025-09-30,15206998.72
