date,period,value
2022-04-08,2021-12-31,43996218.85
2022-04-28,2022-03-31,-27877870.7
2022-08-24,2022-06-30,-19125476.62
2022-10-27,2022-09-30,-14019839.47
2023-04-22,2022-12-31,25811138.26
2023-04-22,2023-03-31,-4756385.54
2023-08-24,2023-06-30,15823141.2
2023-10-27,2023-09-30,30911804.31
2024-04-19,2023-12-31,7865155.15
2024-04-19,2024-03-31,-12953853.97
2024-08-28,2024-06-30,4045914.36
2024-10-26,2024-09-30,13598449.01
2025-04-18,2024-12-31,454823.49
2025-04-26,2025-03-31,-9067480.14
2025-08-23,2025-06-30,1889778.51
2025-10-25,2025-09-30,4062614.9
