date,period,value
2020-04-25,2020-03-31,1085927150.44
2020-08-22,2020-06-30,1107389849.51
2020-10-24,2020-09-30,1143495692.2
2021-03-27,2020-12-31,1248101384.64
2021-04-24,2021-03-31,1324384865.0
2021-08-21,2021-06-30,1402965461.84
2021-10-23,2021-09-30,1413426469.23
2022-04-20,2021-12-31,1459810778.91
2022-04-20,2022-03-31,1434109454.92
2022-08-23,2022-06-30,1486551047.28
2022-10-27,2022-09-30,1573934503.46
2023-04-21,2022-12-31,1705827454.29
2023-04-21,2023-03-31,1681330677.4
2023-08-23,2023-06-30,1579056119.61
2023-10-27,2023-09-30,1642972896.21
2024-04-20,2023-12-31,1811041186.79
2024-04-20,2024-03-31,1812769954.81
2024-08-24,2024-06-30,1826878421.29
2024-10-28,2024-09-30,1831782957.45
2025-04-23,2024-12-31,1885703460.52
2025-04-23,2025-03-31,1809495894.31
2025-08-26,2025-06-30,1854651304.85
2025-10-29,2025-09-30,1892013780.36
