date,period,value
2020-04-28,2020-03-31,690776395.12
2020-08-25,2020-06-30,689914548.23
2020-10-31,2020-09-30,521140677.42
2021-04-27,2020-12-31,1022534920.89
2021-04-27,2021-03-31,1133430552.45
2021-08-24,2021-06-30,1286272814.41
2021-10-26,2021-09-30,1362622705.08
2022-04-26,2021-12-31,695378868.09
2022-04-26,2022-03-31,861920150.67
2022-08-09,2022-06-30,847827173.06
2022-10-28,2022-09-30,645742462.76
2023-04-25,2022-12-31,720069955.9
2023-04-25,2023-03-31,883478017.74
2023-08-31,2023-06-30,1089216270.59
2023-10-31,2023-09-30,1267015116.26
2024-04-30,2023-12-31,1116660127.47
2024-04-30,2024-03-31,1405029922.37
2024-08-14,2024-06-30,1614009580.52
2024-10-29,2024-09-30,1599807162.19
2025-04-26,2024-12-31,1463388106.8
2025-04-26,2025-03-31,1562410410.51
2025-08-26,2025-06-30,1494466794.36
2025-10-28,2025-09-30,755800255.44
