date,period,value
2020-04-29,2020-03-31,24169612.96
2020-08-26,2020-06-30,82696633.58
2020-10-30,2020-09-30,127107741.72
2021-04-27,2020-12-31,163421676.12
2021-04-27,2021-03-31,31131465.79
2021-08-27,2021-06-30,97733116.15
2021-10-28,2021-09-30,139690491.37
2022-04-26,2021-12-31,183574113.18
2022-04-26,2022-03-31,48008396.98
2022-08-24,2022-06-30,86517493.83
2022-10-26,2022-09-30,130732715.1
2023-04-26,2022-12-31,156955919.82
2023-04-26,2023-03-31,41200442.97
2023-08-25,2023-06-30,97104759.54
2023-10-26,2023-09-30,151284359.43
2024-04-24,2023-12-31,187787156.96
2024-04-24,2024-03-31,58008339.86
2024-08-26,2024-06-30,89873996.9
2024-10-26,2024-09-30,170782084.55
2025-04-22,2024-12-31,211533255.13
2025-04-22,2025-03-31,68792328.23
2025-08-26,2025-06-30,113612947.39
2025-10-27,2025-09-30,176174549.57
