date,period,value
2020-04-25,2020-03-31,107054070.0
2020-08-25,2020-06-30,107051042.0
2020-10-27,2020-09-30,6905381.0
2021-04-13,2020-12-31,7069834.76
2021-04-24,2021-03-31,87097177.12
2021-08-25,2021-06-30,87031651.27
2021-10-28,2021-09-30,89463065.02
2022-04-28,2021-12-31,89704249.13
2022-04-28,2022-03-31,89704249.13
2022-08-27,2022-06-30,89704249.13
2022-10-27,2022-09-30,89704249.13
2023-04-12,2022-12-31,88950437.5
2023-04-26,2023-03-31,88950437.5
2023-08-30,2023-06-30,88950437.5
2023-10-28,2023-09-30,48950437.5
2024-04-16,2023-12-31,49142990.03
2024-04-27,2024-03-31,49144522.4
2024-08-21,2024-06-30,49172987.6
2024-10-23,2024-09-30,49126703.85
2025-04-29,2024-12-31,49913348.85
2025-04-29,2025-03-31,49901547.82
2025-08-26,2025-06-30,49861549.3
2025-10-28,2025-09-30,50552993.01
