date,period,value
2020-04-22,2020-03-31,100735697.76
2020-08-22,2020-06-30,106111535.01
2020-10-24,2020-09-30,104135364.38
2021-04-08,2020-12-31,110603370.32
2021-04-29,2021-03-31,113620784.43
2021-08-21,2021-06-30,109527912.73
2021-10-29,2021-09-30,107924121.51
2022-04-02,2021-12-31,113395377.97
2022-04-28,2022-03-31,111638166.15
2022-08-20,2022-06-30,112043512.07
2022-10-21,2022-09-30,110732293.83
2023-04-22,2022-12-31,109541326.25
2023-04-22,2023-03-31,109724999.77
2023-08-24,2023-06-30,113652100.79
2023-10-21,2023-09-30,111554792.87
2024-04-08,2023-12-31,113474546.08
2024-04-30,2024-03-31,111269904.56
2024-08-24,2024-06-30,127628281.98
2024-10-30,2024-09-30,128136925.78
2025-04-25,2024-12-31,108680159.87
2025-04-25,2025-03-31,107302740.66
2025-08-23,2025-06-30,111827281.8
2025-10-30,2025-09-30,112048081.77
