date,period,value
2020-04-24,2020-03-31,25009300.14
2020-08-28,2020-06-30,15356000.0
2020-10-30,2020-09-30,18205800.0
2021-03-31,2020-12-31,49588504.2
2021-04-30,2021-03-31,51350000.0
2021-08-21,2021-06-30,80028490.0
2021-10-29,2021-09-30,62557435.52
2022-03-25,2021-12-31,60439997.79
2022-04-29,2022-03-31,28892732.37
2022-08-30,2022-06-30,20631769.07
2022-10-28,2022-09-30,27437391.0
2023-03-30,2022-12-31,18447470.79
2023-04-27,2023-03-31,23646991.71
2023-08-25,2023-06-30,16291365.16
2023-10-18,2023-09-30,29955009.16
2024-03-28,2023-12-31,75471086.76
2024-04-26,2024-03-31,90622244.6
2024-08-29,2024-06-30,95312730.64
2024-10-29,2024-09-30,90249184.82
2025-03-28,2024-12-31,70068496.01
2025-04-25,2025-03-31,78409748.74
2025-08-22,2025-06-30,49262925.92
2025-10-29,2025-09-30,56371877.8
2026-03-27,2025-12-31,106934496.59
