date,period,value
2020-04-21,2020-03-31,2838673.31
2020-08-26,2020-06-30,9857628.24
2020-10-29,2020-09-30,24318976.95
2021-04-28,2020-12-31,41003050.1
2021-04-28,2021-03-31,6752590.41
2021-08-30,2021-06-30,10361698.84
2021-10-19,2021-09-30,17590179.19
2022-04-26,2021-12-31,24185884.89
2022-04-26,2022-03-31,4127579.43
2022-08-06,2022-06-30,12958542.08
2022-10-27,2022-09-30,27565362.61
2023-04-12,2022-12-31,32769573.55
2023-04-26,2023-03-31,7125433.4
2023-08-28,2023-06-30,16227171.14
2023-10-24,2023-09-30,26079528.44
2024-04-03,2023-12-31,37369532.27
2024-04-29,2024-03-31,27558062.29
2024-08-20,2024-06-30,40334645.09
2024-10-25,2024-09-30,52001528.01
2025-04-23,2024-12-31,68906040.89
2025-04-23,2025-03-31,7537080.87
2025-08-20,2025-06-30,24158270.01
2025-10-28,2025-09-30,47074036.85
2026-04-03,2025-12-31,67244045.08
