date,period,value
2020-04-30,2020-03-31,20779798.28
2020-08-27,2020-06-30,59982890.92
2020-10-28,2020-09-30,107484204.13
2021-03-23,2020-12-31,116944629.17
2021-04-29,2021-03-31,59473223.72
2021-08-30,2021-06-30,133829637.37
2021-10-29,2021-09-30,212512100.39
2022-03-26,2021-12-31,255364592.56
2022-04-28,2022-03-31,70768692.63
2022-08-30,2022-06-30,166263248.19
2022-10-27,2022-09-30,230863626.13
2023-04-08,2022-12-31,427937851.52
2023-04-29,2023-03-31,26697869.17
2023-08-25,2023-06-30,63247364.03
2023-10-31,2023-09-30,94047252.21
2024-03-30,2023-12-31,174027962.43
2024-04-29,2024-03-31,7362626.88
2024-08-16,2024-06-30,2180003.3
2024-10-31,2024-09-30,34633543.87
2025-04-15,2024-12-31,77775341.68
2025-04-29,2025-03-31,36357591.28
2025-08-22,2025-06-30,45390196.22
2025-10-30,2025-09-30,64379549.48
