date,period,value
2020-04-29,2020-03-31,21788340.23
2020-08-31,2020-06-30,43207128.21
2020-10-31,2020-09-30,72505083.92
2021-04-30,2020-12-31,108178512.22
2021-04-30,2021-03-31,36539516.65
2021-08-31,2021-06-30,51970527.65
2021-10-30,2021-09-30,69392888.08
2022-04-30,2021-12-31,88365217.03
2022-04-30,2022-03-31,26798452.05
2022-08-31,2022-06-30,37952130.51
2022-10-31,2022-09-30,53951859.76
2023-04-29,2022-12-31,69084536.13
2023-04-29,2023-03-31,20076365.33
2023-08-31,2023-06-30,31440531.11
2023-10-31,2023-09-30,43617503.34
2024-04-30,2023-12-31,60028912.09
2024-04-30,2024-03-31,23350488.36
2024-08-31,2024-06-30,32749713.36
2024-10-31,2024-09-30,44372706.7
2025-04-29,2024-12-31,56196895.56
2025-04-29,2025-03-31,18623305.99
2025-08-25,2025-06-30,27471903.02
2025-10-30,2025-09-30,41929835.75
