date,period,value
2020-04-29,2020-03-31,295110.22
2020-08-26,2020-06-30,760913.34
2020-10-30,2020-09-30,1507975.16
2021-04-24,2020-12-31,60352459.5
2021-08-25,2021-06-30,2947963.77
2021-10-29,2021-09-30,14854455.03
2022-04-23,2021-12-31,15374216.73
2022-04-29,2022-03-31,10.24
2022-08-27,2022-06-30,3000000.0
2022-10-29,2022-09-30,2255877.46
2023-04-26,2022-12-31,550000.0
2023-08-25,2023-06-30,1708153.6
2023-10-28,2023-09-30,1708153.6
2024-04-25,2023-12-31,0.0
2025-04-26,2024-12-31,0.0
2025-08-23,2025-06-30,0.0
2025-10-31,2025-09-30,19883399.13
