date,period,value
2020-04-29,2020-03-31,3131476.31
2020-08-26,2020-06-30,27472378.25
2020-10-30,2020-09-30,31109317.4
2021-04-24,2020-12-31,72993418.76
2021-04-28,2021-03-31,3118772.57
2021-08-25,2021-06-30,5219279.73
2021-10-29,2021-09-30,7382250.92
2022-04-23,2021-12-31,7852594.23
2022-04-29,2022-03-31,6605353.01
2022-08-27,2022-06-30,7048335.8
2022-10-29,2022-09-30,9113899.05
2023-04-26,2022-12-31,17522203.13
2023-04-28,2023-03-31,-545237.83
2023-08-25,2023-06-30,8421066.82
2023-10-28,2023-09-30,5614698.37
2024-04-25,2023-12-31,30888349.65
2024-04-26,2024-03-31,-1313749.55
2024-08-30,2024-06-30,-1174269.74
2024-10-30,2024-09-30,-6186616.84
2025-04-26,2024-12-31,-82430464.83
2025-04-30,2025-03-31,5074004.1
2025-08-23,2025-06-30,20377053.08
2025-10-31,2025-09-30,15404169.31
