date,period,value
2020-04-25,2020-03-31,14793544.8
2020-08-21,2020-06-30,31093925.31
2020-10-29,2020-09-30,49561442.21
2021-04-23,2020-12-31,53997880.42
2021-04-24,2021-03-31,14552516.51
2021-08-20,2021-06-30,24058942.4
2021-10-30,2021-09-30,31029150.78
2022-04-23,2021-12-31,26210911.32
2022-04-26,2022-03-31,283091.19
2022-08-20,2022-06-30,12375884.4
2022-10-29,2022-09-30,29234369.73
2023-04-22,2022-12-31,35070134.15
2023-04-25,2023-03-31,10031492.73
2023-08-19,2023-06-30,15174340.53
2023-10-18,2023-09-30,30604974.87
2024-04-20,2023-12-31,46271828.45
2024-04-24,2024-03-31,14731414.33
2024-08-20,2024-06-30,23301762.58
2024-10-26,2024-09-30,36790232.24
2025-04-26,2024-12-31,45749524.13
2025-04-30,2025-03-31,15102723.39
2025-08-22,2025-06-30,18122131.19
2025-10-25,2025-09-30,36089174.39
