date,period,value
2020-04-30,2020-03-31,213069824.31
2020-08-27,2020-06-30,213069824.31
2020-10-27,2020-09-30,213069824.31
2021-04-29,2020-12-31,228503678.45
2021-04-29,2021-03-31,228503678.45
2021-08-31,2021-06-30,228503678.45
2021-10-27,2021-09-30,228503678.45
2022-04-23,2021-12-31,243433574.02
2022-04-26,2022-03-31,243433574.02
2022-08-31,2022-06-30,243433574.02
2022-10-31,2022-09-30,243433574.02
2023-04-25,2022-12-31,250780507.05
2023-04-25,2023-03-31,250780507.05
2023-08-30,2023-06-30,250780507.05
2023-10-31,2023-09-30,250780507.05
2024-04-29,2023-12-31,262906627.77
2024-04-29,2024-03-31,262906627.77
2024-08-31,2024-06-30,262906627.77
2024-10-31,2024-09-30,262906627.77
2025-04-29,2024-12-31,273932413.71
2025-04-29,2025-03-31,273932413.71
2025-08-30,2025-06-30,273932413.71
2025-10-29,2025-09-30,273932413.71
