date,period,value
2020-04-30,2020-03-31,301000000.0
2020-08-25,2020-06-30,476000000.0
2020-10-28,2020-09-30,757428500.0
2021-04-24,2020-12-31,892228500.0
2021-04-24,2021-03-31,544912300.0
2021-08-30,2021-06-30,718026633.33
2021-10-30,2021-09-30,836957504.83
2022-04-26,2021-12-31,1148305332.05
2022-04-26,2022-03-31,407541745.0
2022-08-12,2022-06-30,794990952.5
2022-10-29,2022-09-30,998753196.21
2023-04-18,2022-12-31,1360438941.21
2023-04-29,2023-03-31,718786135.7
2023-08-25,2023-06-30,1267425914.07
2023-10-26,2023-09-30,1752178852.27
2024-04-26,2023-12-31,1399890595.77
2024-04-26,2024-03-31,929041407.36
2024-08-31,2024-06-30,1101896930.54
2024-10-22,2024-09-30,1464670775.54
2025-04-23,2024-12-31,2221164761.37
2025-04-29,2025-03-31,569717631.88
2025-08-27,2025-06-30,852514361.83
2025-10-29,2025-09-30,1182200106.83
